ID,Name,Ecoregion,HUC,County,DA_mi2,DACAT,US_Lat,US_Long,DS_Lat,DS_Long,BA_ft2,BW_ft,BD_ft,WDR,ER,Slope_per,StreamType,SA_length,SA_area,FlowRegime,CFPs,AB,LWD_uslat,LWD_uslong,LWD_dslat,LWD_Dslong,LWD_frequency,wBHR,wER,perRiffle,median_PSR,avg_PDR,L_Bufferwidth,R_Bufferwidth,avgBasalarea,Avgherbcover,avgshrub,avgcanopy,invasive_non,Erodingstreambank_length,Per_erodingbank,BEHI_NBS,Bedmaterial,d50,d84,funcap_reachrunoff,funcap_FPC,funcap_alateral,funcap_BFD,funcap_riparianveg,valleytype,imperviouscover,weightedavgrunoff,D16
ECBP1,Slate Run,ECBP,5060001,Pickaway,1.2,2,39.757678,-82.848482,39.758263,-82.849448,36.4,25.7,1.42,18.1,2.6,0.4,C4,572,14700,Intermittent,N,N,39.757754,-82.84851,39.758062,-82.84886,34,1.3,3.8,37,3.7,3,282,71,4.52,38,39,63,38,450,39,M/M,Gravel ,14,35,F,FAR,FAR,F,F,confined alluvial,1.7,0.19,7.6
ECBP2,Slate Lick,ECBP,5060001,Delaware,0.52,1,40.309519,-82.941665,40.309905,-82.94217,9.4,16.4,0.58,28.5,2.7,0.9,B4c,347,5691,Perennial,Y,Y,40.309593,-82.941694,40.30992,-82.942065,36,1.5,1.7,46,2.6,2.8,199,229,18.48,12,15,74,2,252,36,H/M,Shale Gravel,NA,NA,F,FAR,FAR,F,"FAR, close to F",confined alluvial,2.3,0.42,7.6
ECBP3,Highbanks,ECBP,5060001,Delaware,0.63,1,40.151614,-83.032168,40.152458,-83.033312,18.8,29.4,0.64,46.1,1.5,1.8,B1c,661,19433,Perennial,N,N,40.151703,-83.032164,40.15243,-83.032433,50,1.2,1.7,75,2.8,2.5,302,495,36.8,27,18,69,3,155,12,M/L,Bedrock,NA,NA,F,F ,F ,F,F ,colluvial,41.9,0.38,10
ECBP4,UT Slate Run,ECBP,5060001,Pickaway,0.52,1,39.758752,-82.843708,39.758227,-82.844581,19.4,20.8,0.94,22.2,1.5,1.6,B4c,437,9090,Perennial,N,N,39.758752,-82.84369,39.758226,-82.844448,52,1.2,1.5,42,2.6,2.1,173,185,20.56,26,50,85,9,223,26,H/M,Gravel ,33,110,F,F,FAR,F,F,confined alluvial,4.6,0.45,3.1
ECBP5,Poplar Creek,ECBP,5060001,Fairfield,0.81,1,39.801815,-82.754213,39.802135,-82.75371,17.5,13,1.34,9.7,2.2,1,E4,328,4274,Perennial,N,N,39.801814,-82.75421,39.802133,-82.753707,23,1.1,2.5,65,4.7,2.1,169,289,24.72,50,26,38,74,162,25,M/H,Gravel ,16,29,F,FAR,FAR,FAR,FAR,unconfined alluvial,2,0.59,7.7
ECBP6,Little Darby,ECBP,5060001,Franklin,177.28,3,39.901929,-83.246033,39.898613,-83.237189,633.4,167.7,3.78,44.4,5,0.2,C4,3495,586112,Perennial,N,N,39.90074,-83.242383,39.900756,-83.241197,64,1,5.9,61,9.9,2.5,678,614,38.88,85,9,59,25,564,8,M/L,Gravel ,47,92,F,F,F,F,F,unconfined alluvial,2.6,0.12,11
ECBP7,UT Kiser Lake,ECBP,5080001,Champaign,1.16,2,40.188653,-83.979227,40.189468,-83.978219,15.5,19.2,0.81,23.7,2.6,1.1,C4,438,8397,Perennial,N,N,40.188899,-83.978999,40.189459,-83.978217,46,1.2,4,56,2.1,4.3,302,201,43.14,26,50,85,3,34,4,M/M,Gravel ,26,52,F,FAR,F,F,F,confined alluvial,2.1,0.14,12
ECBP8,Sinking Creek,ECBP,5080001,Clark,13.18,2,39.929668,-83.721255,39.930703,-83.723688,118.9,42.3,2.81,15.1,2.3,0.5,C4,914,38680,Perennial,N,N,39.929672,-83.721249,39.929806,-83.722343,46,1.1,2.3,44,6.1,1.9,61,886,31.93,24,4,54,59,500,27,H/H,Gravel ,28,72,F,F,FAR,FAR,FAR,unconfined alluvial,1.9,0.17,7.2
ECBP9,UT1 Big Darby HW,ECBP,5060001,Logan,0.05,1,40.29757,-83.576052,40.297651,-83.575421,4.3,8,0.5,14.9,8,1.4,C4,222,1776,Intermittent,N,N,40.297571,-83.576109,40.297653,-83.575424,24,1.2,4.3,46,5.5,2.5,214,89,21.73,15,50,85,9,80,18,M/M,Gravel ,4,10,F,F,F,FAR,FAR,unconfined alluvial,2.1,0.59,0.062
ECBP10,UT2 Big Darby HW,ECBP,5060001,Logan,0.1,1,40.29977,-83.573676,40.299641,-83.572781,6,14.5,0.4,35.1,1.8,1.3,F4,299,4336,Perennial,Y,N,40.299734,-83.573687,40.299655,-83.572777,25,2,1.4,58,3.4,4.4,172,190,19.09,80,26,74,26,157,26,M/M,Gravel ,27,56,FAR,FAR,FAR,F,FAR,confined alluvial,1.9,0.36,12
ECBP11,UT2 Sugar Creek,ECBP,5090202,Greene,1.86,2,39.623014,-84.084139,39.624082,-84.084326,28.7,26.6,1.3,16.3,2.2,1.2,B4c,434,11544,Perennial,N,N,39.623014,-84.084151,39.62386,-84.084187,42,1.3,1.6,67,2.4,2,302,230,26.67,5,5,50,85,70,8,L/M,Gravel ,24,130,F,FAR,F,FAR,FAR,unconfined alluvial,3.3,0.4,4.3
ECBP12,Beaver Creek,ECBP,5080001,Clark,37.06,3,39.930929,-83.723633,39.931216,-83.725838,98.4,41.8,2.4,17.7,1.7,0.4,C3,969,40504,Perennial,N,N,39.931844,-83.725019,39.931305,-83.725579,113,1.1,2.5,29,3.2,2.9,378,375,17.31,48,0,62,85,87,4,L/M,Cobble,97,1100,F,FAR,F,F,F,unconfined alluvial,3.6,0.17,32
ECBP13,Fall Creek,ECBP,5060003,Highland,14.98,2,39.285193,-83.448952,39.286997,-83.449561,91.9,48.3,1.9,25.4,1.6,0.4,F4,1061,51246,Perennial,N,N,39.286559,-83.448712,39.28711,-83.449318,12,2,1.2,40,2.3,2.6,297,879,50.11,71,18,62,5,506,24,M/M,Gravel ,NA,NA,F,NF,FAR,FAR,FAR,unconfined alluvial,1.4,0.16,NA
ECBP14,UT to Paint Creek Lake,ECBP,5060003,Highland,0.12,1,39.270331,-83.41153,39.270817,-83.41105,5.6,9.7,0.6,16.8,4.6,4.3,C4b,250,2425,Perennial,N,N,39.270336,-83.411537,39.270821,-83.41106,16,1.2,4.2,69,1.5,2.4,107,228,23.1,50,26,74,85,15,3,L/M,Gravel ,13,52,F,F,F,FAR,FAR,unconfined alluvial,1.5,0.87,2.1
ECBP15,Hueston Woods UT1,ECBP,5080002,Preble,4.68,2,39.596339,-84.752549,39.594208,-84.751858,60.7,42.8,1.42,30.2,1.5,1.3,B3c,862,36894,Perennial,N,N,39.59521,-84.751768,39.595973,-84.752321,20,1,1.6,57,2.3,1.7,141,188,35.65,9,11,58,75,0,0,L/M,Cobble,69,170,F,F,F,F,F,confined alluvial,1.6,0.12,11
